date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-25,Telangana,K.v. Rangareddy,500081,17,191
01-03-25,Telangana,Mulugu,506165,35,484
01-03-25,Telangana,Adilabad,504346,42,420
01-03-25,Telangana,Narayanpet,509411,52,193
01-03-25,Telangana,Medak,502295,25,83
01-03-25,Telangana,Nizamabad,503245,100,256
01-03-25,Telangana,Warangal,506135,14,45
01-03-25,Telangana,Jogulamba Gadwal,509127,96,339
01-03-25,Telangana,Mahabubnagar,509132,185,124
01-03-25,Telangana,Bhadradri Kothagudem,507316,18,116
01-03-25,Telangana,Medak,502103,49,76
01-03-25,Telangana,Warangal,506303,15,69
01-03-25,Telangana,Medak,502269,53,215
01-03-25,Telangana,Sangareddy,502249,16,31
01-03-25,Telangana,Mahabubnagar,509203,51,67
01-03-25,Telangana,Sangareddy,502256,17,24
01-03-25,Telangana,Karimnagar,505416,11,116
01-03-25,Telangana,Kamareddy,503302,27,46
01-03-25,Telangana,Yadadri.,508277,35,431
01-03-25,Telangana,Karimnagar,505505,31,178
01-03-25,Telangana,Mahabubabad,507210,27,221
01-03-25,Telangana,Nirmal,504109,20,88
01-03-25,Telangana,Medak,502306,27,98
01-03-25,Telangana,Khammam,507136,19,27
01-03-25,Telangana,Komaram Bheem,504293,185,1010
01-03-25,Telangana,Medchal-malkajgiri,500018,164,855
01-03-25,Telangana,Hyderabad,500044,55,380
01-03-25,Telangana,K.v. Rangareddy,500019,115,716
01-03-25,Telangana,Kamareddy,503114,42,124
01-03-25,Telangana,Mahabubnagar,509216,33,74
01-03-25,Telangana,Medak,502130,16,39
01-03-25,Telangana,Nalgonda,508373,27,485
01-03-25,Telangana,Hyderabad,500059,211,1151
01-03-25,Telangana,Warangal,506006,19,55
01-03-25,Telangana,Hyderabad,500042,21,114
01-03-25,Telangana,Karimnagar,505102,21,63
01-03-25,Telangana,Jagitial,505425,10,129
01-03-25,Telangana,Hyderabad,500023,136,809
01-03-25,Telangana,Siddipet,502372,13,58
01-03-25,Telangana,Warangal,506349,34,49
01-03-25,Telangana,Medchal-malkajgiri,500010,156,778
01-03-25,Telangana,Suryapet,508246,81,351
01-03-25,Telangana,Karimnagar,505529,20,102
01-03-25,Telangana,Khammam,507209,89,907
01-03-25,Telangana,Karimnagar,505474,36,442
01-03-25,Telangana,Medchal-malkajgiri,500090,307,1614
01-03-25,Telangana,Khammam,507208,29,285
01-03-25,Telangana,Warangal,506366,14,28
01-03-25,Telangana,Khammam,507128,13,23
01-03-25,Telangana,Hyderabad,500040,45,171
01-03-25,Telangana,Suryapet,508212,28,265
01-03-25,Telangana,Jagitial,505501,14,83
01-03-25,Telangana,K.v. Rangareddy,509410,30,215
01-03-25,Telangana,Nizamabad,503175,168,708
01-03-25,Telangana,Sangareddy,502220,108,280
01-03-25,Telangana,Medchal?malkajgiri,500072,11,51
01-03-25,Telangana,Hyderabad,500036,97,653
01-03-25,Telangana,Nizamabad,503206,60,233
01-03-25,Telangana,Hyderabad,500056,40,120
01-03-25,Telangana,Nalgonda,508374,59,377
01-03-25,Telangana,Jagitial,505529,26,115
01-03-25,Telangana,Bhadradri Kothagudem,507128,32,176
01-03-25,Telangana,Bhadradri Kothagudem,507306,57,378
01-03-25,Telangana,Nagarkurnool,509105,149,349
01-03-25,Telangana,K.v. Rangareddy,500035,133,925
01-03-25,Telangana,Siddipet,505528,14,61
01-03-25,Telangana,Medak,502256,11,87
01-03-25,Telangana,Nalgonda,508113,25,75
01-03-25,Telangana,Karimnagar,505425,17,119
01-03-25,Telangana,Mancherial,504303,11,103
01-03-25,Telangana,K.v. Rangareddy,501142,28,333
01-03-25,Telangana,Rajanna Sircilla,505301,63,380
01-03-25,Telangana,Wanaparthy,509120,116,453
01-03-25,Telangana,K.v. Rangareddy,500049,177,1137
01-03-25,Telangana,Hyderabad,500018,176,843
01-03-25,Telangana,Medak,502032,47,143
01-03-25,Telangana,Karimnagar,505528,31,66
01-03-25,Telangana,Vikarabad,501101,96,399
01-03-25,Telangana,Medak,502286,106,595
01-03-25,Telangana,K.v. Rangareddy,500070,119,842
01-03-25,Telangana,Yadadri.,508252,146,2197
01-03-25,Telangana,Nalgonda,508205,67,346
01-03-25,Telangana,Wanaparthy,509206,67,527
01-03-25,Telangana,Karimnagar,505174,24,130
01-03-25,Telangana,Nirmal,504103,109,380
01-03-25,Telangana,Warangal,506142,19,31
01-03-25,Telangana,Medak,502371,25,84
01-03-25,Telangana,Mancherial,504219,10,88
01-03-25,Telangana,Yadadri.,508115,17,136
01-03-25,Telangana,Medak,502278,48,61
01-03-25,Telangana,Jagitial,505331,29,202
01-03-25,Telangana,Nalgonda,508284,14,69
01-03-25,Telangana,Peddapalli,505187,15,104
01-03-25,Telangana,Warangal,506356,12,45
01-03-25,Telangana,Warangal,506201,15,63
01-03-25,Telangana,Warangal,506348,14,41
01-03-25,Telangana,Medchal-malkajgiri,500092,86,598
01-03-25,Telangana,Mahabubnagar,509208,49,180
01-03-25,Telangana,Kamareddy,503187,89,267
01-03-25,Telangana,Warangal,506221,15,135
01-03-25,Telangana,Nizamabad,503306,22,82
01-03-25,Telangana,Hyderabad,500096,14,75
01-03-25,Telangana,Nizamabad,503185,159,559
01-03-25,Telangana,Mancherial,504215,43,368
01-03-25,Telangana,Wanaparthy,509103,135,604
01-03-25,Telangana,Nizamabad,503108,15,57
01-03-25,Telangana,Nizamabad,503224,72,857
01-03-25,Telangana,Karimnagar,505405,52,122
01-03-25,Telangana,Warangal Rural,506330,32,423
01-03-25,Telangana,Medak,502271,39,138
01-03-25,Telangana,Nizamabad,503207,77,260
01-03-25,Telangana,Hyderabad,500009,54,299
01-03-25,Telangana,Siddipet,506367,38,77
01-03-25,Telangana,Medchal-malkajgiri,500039,88,505
01-03-25,Telangana,Mancherial,504251,48,447
01-03-25,Telangana,Warangal Rural,506310,12,90
